,Customer_Name,Monetary,Frequency,Recency_Days
253,Townhouse,2616.46,25.0,5.0
254,Townie Bagels,4416.74,26.0,4.0
255,Triple Beam Pizza Catering,1931.16,13.0,5.0
256,Triple Beam Pizza Commissary,4709.71,17.0,7.0
257,Triple Beam Pizza Echo Park,15985.97,87.0,1.0
258,Triple Beam Pizza Highland Park,19346.11,117.0,1.0
259,Triple Beam Pizza Santa Monica,8831.69,24.0,5.0
260,Unified Paper & Packaging Inc.,755.47,10.0,12.0
261,Unincorporated Coffee - Altadena,0.0,0.0,0.0
262,Unincorporated Coffee - Eagle Rock,5297.15,38.0,1.0
263,Unincorporated Coffee - Altadena - Other,2935.49,22.0,1.0
264,Total Unincorporated Coffee - Altadena,8232.64,0.0,0.0
265,Upper East Slice,1049.89,0.0,0.0
266,Varsity Bakers,362.8,0.0,0.0
267,Vernon Sales (Sales),3236.04,2.0,4.0
268,Vidal Produce #2,1909.45,0.0,0.0
269,Villas Tacos,379.49,0.0,0.0
270,Wake and Late 6th,5381.12,44.0,4.0
271,Wake and Late Pasadena,10060.28,58.0,4.0
272,Wake and Late Selma,6129.8,69.0,1.0
273,Wallflour Pizza,2041.55,16.0,0.0
274,Walts,252.21,0.0,0.0
275,Wax Paper Frogtown,2372.32,14.0,8.0
276,Webgility Shop KEVIDKO,235752.3,551.0,4.0
277,Wexler's Deli- Santa Monica,4381.31,34.0,6.0
278,Wild Crust,3633.74,26.0,1.0
279,Woon Number One LLC,27270.27,38.0,1.0
280,Woon Number Two,3373.69,53.0,1.0
281,YALA COFFEE COMPANY,2970.86,13.0,5.0
282,Yang's Kitchen,467.0,0.0,0.0
283,YC Meat Market,1340.09,0.0,0.0
284,Yellow Paper Burger,6131.69,27.0,1.0
285,Young Israel Congregation,2059.72,0.0,0.0
286,TOTAL,1695334.21,0.0,0.0
