Customer_Name,Last_Order_Date,Frequency,Monetary,Recency_Days,Churn,is_churned
Parakeet Cafe - Brentwood,7/1/2025,46,2719.35,12,0,0
Parakeet Cafe - Carlsbad,7/11/2025,98,5739.92,2,0,0
Parakeet Cafe - Del Mar,7/2/2025,48,3547.83,11,0,0
Parakeet Cafe - La Jolla,6/27/2025,48,3448.63,16,0,0
Parakeet Cafe - La Jolla Cove Hotel,7/11/2025,50,2712.99,2,0,0
Parakeet Cafe - Little Italy,7/11/2025,143,8450.71,2,0,0
Parakeet Cafe - Newport Beach,7/8/2025,100,6231.6,5,0,0
Parakeet Juicery - Del Mar,7/11/2025,65,4882.96,2,0,0
Parakeet Juicery - La Jolla,7/11/2025,91,7469.25,2,0,0
Parakeet Juicery Coronado,7/11/2025,13,767.66,2,0,0
Pasta Sisters - Adams,4/22/2025,3,154.95,82,0,0
Pasta Sisters Culver City,7/1/2025,108,5279.11,12,0,0
Pasta Sisters Pico,7/2/2025,70,3441.99,11,0,0
Pasta Sisters Truck,7/6/2023,1,63.0,738,1,1
Pending Account,9/15/2023,3,226.28,667,1,1
Perilla LA,6/30/2025,28,1500.39,13,0,0
Petitegrain Boulangerie,9/17/2024,11,770.93,299,1,1
Pico Glatt,1/5/2023,7,765.88,920,1,1
Pine & Crane DTLA,7/10/2025,354,18783.15,3,0,0
Pine & Crane Silverlake,7/10/2025,284,16245.05,3,0,0
Priedite Barbecue,10/8/2024,1,48.87,278,1,1
Proof Bakery,7/8/2025,41,3496.63,5,0,0
Quarter Sheets LLC,7/9/2025,2,94.0,4,0,0
Rad Juice Bar,7/9/2025,5,254.48,4,0,0
Rafie's Unlimited,6/27/2025,5,329.0,16,0,0
Raquel's CNC,4/25/2023,8,2504.4,810,1,1
Revolution Roasters- Carlsbad,7/11/2025,235,15131.04,2,0,0
Revolution Roasters- Oceanside,7/11/2025,239,14358.09,2,0,0
SUSHIKO BAR INC,6/23/2025,32,1908.34,20,0,0
Saavedras's,6/20/2025,49,11970.44,23,0,0
Saba Surf,3/28/2025,40,4974.19,107,1,1
Saffy's,6/16/2025,15,1325.4,27,0,0
Saint Coffee Shop,2/6/2024,3,142.5,523,1,1
Saladino's Foodservice,10/12/2022,4,44880.0,1005,1,1
Savvy,11/10/2023,8,7933.0,611,1,1
Shaherzad,7/1/2025,2,114.5,12,0,0
Silverlake Wine,7/10/2025,23,3491.96,3,0,0
Simon's Caterers,12/12/2024,10,1685.31,213,1,1
Skaf's On York,10/10/2024,6,313.5,276,1,1
Sobuneh,6/13/2025,11,505.44,30,0,0
Softies,7/9/2025,6,286.0,4,0,0
Square one Dining,2/5/2025,28,1639.91,158,1,1
Stirred Roasters Coffee House,10/1/2024,147,13243.26,285,1,1
Storm Burger,7/7/2025,124,8269.54,6,0,0
Sua Superette Larchmont,7/10/2025,108,6692.12,3,0,0
Sunnin,6/30/2025,137,6307.27,13,0,0
Super Tochal,9/5/2022,1,58.87,1042,1,1
TEST,4/15/2025,2,0.0,89,0,0
THICC Burger LA,4/17/2024,5,283.08,452,1,1
Tacos Tu Madre-WEHO,12/20/2023,2,193.5,571,1,1
Tail O' the Pup,7/8/2025,27,2152.59,5,0,0
Tehran Market,7/9/2025,5,400.29,4,0,0
"The Daily, by HC",5/16/2025,36,2112.39,58,0,0
