Customer_Name,Last_Order_Date,Frequency,Monetary,Recency_Days,Churn,is_churned,Balance Total
Pasta Sisters Pico,7/2/2025,70,3441.99,11,0,0,2540.08
Pasta Sisters Truck,7/6/2023,1,63.0,738,1,1,
Pending Account,9/15/2023,3,226.28,667,1,1,0
Perilla LA,6/30/2025,28,1500.39,13,0,0,852.18
Petitegrain Boulangerie,9/17/2024,11,770.93,299,1,1,-62.12
Pico Glatt,1/5/2023,7,765.88,920,1,1,0
Pine & Crane DTLA,7/10/2025,354,18783.15,3,0,0,8126.85
Pine & Crane Silverlake,7/10/2025,284,16245.05,3,0,0,19579.63
Priedite Barbecue,10/8/2024,1,48.87,278,1,1,374.86
Proof Bakery,7/8/2025,41,3496.63,5,0,0,244.35
Quarter Sheets LLC,7/9/2025,2,94.0,4,0,0,1221.48
Rad Juice Bar,7/9/2025,5,254.48,4,0,0,750.12
Rafie's Unlimited,6/27/2025,5,329.0,16,0,0,0
Raquel's CNC,4/25/2023,8,2504.4,810,1,1,0
Revolution Roasters- Carlsbad,7/11/2025,235,15131.04,2,0,0,7572.28
Revolution Roasters- Oceanside,7/11/2025,239,14358.09,2,0,0,543.29
SUSHIKO BAR INC,6/23/2025,32,1908.34,20,0,0,1504.06
Saavedras's,6/20/2025,49,11970.44,23,0,0,2276.9
Saba Surf,3/28/2025,40,4974.19,107,1,1,-147.8
Saffy's,6/16/2025,15,1325.4,27,0,0,9190.28
Saint Coffee Shop,2/6/2024,3,142.5,523,1,1,0
Saladino's Foodservice,10/12/2022,4,44880.0,1005,1,1,
Savvy,11/10/2023,8,7933.0,611,1,1,0
Shaherzad,7/1/2025,2,114.5,12,0,0,7059.41
Silverlake Wine,7/10/2025,23,3491.96,3,0,0,-1.34
Simon's Caterers,12/12/2024,10,1685.31,213,1,1,0
Skaf's On York,10/10/2024,6,313.5,276,1,1,426.55
Sobuneh,6/13/2025,11,505.44,30,0,0,-1132.05
Softies,7/9/2025,6,286.0,4,0,0,1833.18
Square one Dining,2/5/2025,28,1639.91,158,1,1,860.85
Stirred Roasters Coffee House,10/1/2024,147,13243.26,285,1,1,-716.45
Storm Burger,7/7/2025,124,8269.54,6,0,0,30983.87
Sua Superette Larchmont,7/10/2025,108,6692.12,3,0,0,1929.25
Sunnin,6/30/2025,137,6307.27,13,0,0,-247.26
Super Tochal,9/5/2022,1,58.87,1042,1,1,6304.87
TEST,4/15/2025,2,0.0,89,0,0,0
THICC Burger LA,4/17/2024,5,283.08,452,1,1,1795.32
Tacos Tu Madre-WEHO,12/20/2023,2,193.5,571,1,1,
Tail O' the Pup,7/8/2025,27,2152.59,5,0,0,2217.47
Tehran Market,7/9/2025,5,400.29,4,0,0,7440.49
"The Daily, by HC",5/16/2025,36,2112.39,58,0,0,0
The Georgian Hotel,5/12/2025,87,5809.62,62,0,0,7059.66
The Hermosillo,4/29/2025,74,3630.51,75,0,0,1489.21
The Rooster,1/6/2023,15,974.06,919,1,1,0
The Social Club,11/15/2024,1,55.0,240,1,1,-121.08
The Stackz Co,6/26/2025,23,1122.14,17,0,0,5654.96
Tiago Coffee Bar + Kitchen,7/7/2025,372,26210.32,6,0,0,7380.11
Tomat,6/30/2025,7,500.65,13,0,0,634.79
Tortoni Caffe,5/27/2025,2,48.87,47,0,0,309.09
Townhouse,7/10/2025,42,2422.76,3,0,0,2311.4
Townie Bagels,7/11/2025,227,17710.9,2,0,0,414.66
Triple Beam Pizza Commissary,6/3/2025,9,538.92,40,0,0,3516.49
Triple Beam Pizza Echo Park,7/7/2025,105,5643.46,6,0,0,3821.08
Triple Beam Pizza Glendora,7/22/2024,8,457.44,356,1,1,-0.3
Triple Beam Pizza Highland Park,7/7/2025,121,6773.38,6,0,0,3143.09
Triple Beam Pizza Santa Monica,6/27/2025,37,1915.34,16,0,0,3258.42
Triple One Market Supply,1/19/2023,24,17155.81,906,1,1,0
Trophies Burger Club,11/29/2022,12,772.36,957,1,1,
Unincorporated Coffee - Altadena,7/7/2025,111,7876.15,6,0,0,4953.21
Unincorporated Coffee - Altadena:Unincorporated Coffee - Altadena #2,12/9/2024,150,10145.65,216,1,1,0
Unincorporated Coffee - Altadena:Unincorporated Coffee - Burbank,4/15/2024,72,3865.36,454,1,1,0
Unincorporated Coffee - Altadena:Unincorporated Coffee - Eagle Rock,7/7/2025,320,19068.3,6,0,0,2935.11
Upper East Slice,6/3/2025,4,229.0,40,0,0,0
Vamos. Vamos.,11/20/2024,16,1476.2,235,1,1,-79.68
Varsity Bakers,2/12/2025,11,607.74,151,1,1,362.8
Vidal Produce #2,6/10/2025,159,43684.79,33,0,0,0
Viele & Sons,9/30/2022,1,5312.5,1017,1,1,0
Villas Tacos,5/20/2025,35,2485.89,54,0,0,-356.06
Vitorrja,8/29/2023,1,63.0,684,1,1,0
Wake and Late 6th,7/7/2025,97,4991.51,6,0,0,1800.62
Wake and Late Pasadena,7/11/2025,153,9041.54,2,0,0,53809.96
Wake and Late Selma,7/9/2025,114,5096.69,4,0,0,2369.87
Wallflour Pizza,4/22/2025,1,61.75,82,0,0,647.08
Wax Paper Chinatown,5/22/2025,11,424.9,52,0,0,0
Wax Paper Frogtown,6/12/2025,57,2544.99,31,0,0,1692.65
Webgility Shop KEVIDKO,7/9/2025,6533,1112089.34,4,0,0,-4471.75
West Altadena Wine + Spirits,9/24/2024,1,127.2,292,1,1,0
Wexler's Deli- DTLA,3/11/2025,2,112.82,124,1,1,0
Wexler's Deli- Santa Monica,6/18/2025,13,625.88,25,0,0,2133.39
Wild Crust,5/14/2025,3,189.46,60,0,0,1095.25
Woon Number Two,5/8/2025,4,371.62,66,0,0,1896.65
YALA COFFEE COMPANY,7/10/2025,171,13665.3,3,0,0,-196.47
YC Meat Market,3/5/2025,2,97.74,130,1,1,0
Yang's Kitchen,1/9/2025,4,490.39,185,1,1,484.18
Yellow Paper Burger,6/10/2025,6,232.11,33,0,0,4038.14
Young Israel Congregation,4/28/2025,23,5499.87,76,0,0,0
